# Oil purchases
date,gallons,unit_price,total_amt
8/1/22,92.4,4.899,452.67
10/27/22,60.9,5.749,350.11
12/1/22,100.8,4.999,503.9
1/2/23,55.3,4.649,257.09
2/2/23,188,4.399,827.01
2/28/23,101.9,3.899,397.31
3/30/23,100.9,3.899,393.41
5/30/23,65.8,3.499,230.23
11/9/23,88,3.949,347.51
12/26/23,161.2,3.949,636.58
2/6/24,175.3,4.049,709.79
3/27/24,156.3,3.949,617.23
10/1/24,76.2,3.449,262.81
12/13/24,145.8,3.449,502.86
1/27/25,216.1,3.699,799.35
3/6/25,166.2,3.749,623.08
6/10/25,121.5,3.249,394.75
10/22/25,5.7,3.449,19.66
